DATE,ID,CITY_NAME,DAY_TYPE,REAL_SUM,ROOM_TYPE,ROOM_SHARED,ROOM_PRIVATE,PERSON_CAPACITY,CLEANLINESS_RATING,GUEST_SATISFACTION_OVERALL,BEDROOMS,DISTANCE,METRO_DISTANCE,ATTR_INDEX,REST_INDEX
2023-10-10,162,Paris,Weekend,142.604157,Private room,FALSE,TRUE,2,10,95,1,3.809317669,0.038853011,397.0046246,793.3030298
2023-10-11,163,Paris,Weekend,404.2781247,Entire home/apt,FALSE,FALSE,2,-99999,96,1,2.240028441,0.254353531,275.2304653,722.1906816
2023-10-12,164,,Weekend,359.073539,Entire home/apt,FALSE,FALSE,3,8,84,1,4.176494003,0.06880815,164.2829292,404.5988696
2023-10-13,165,Paris,Weekend,164.0413832,Entire home/apt,FALSE,FALSE,2,10,97,0,3.259160426,0.226339414,222.5162422,538.478158
2023-10-14,166,Rome,Weekday,156.8746639,Private room,FALSE,TRUE,2,10,95,1,2.978467834,1.595733112,281.1639316,697.7272462
2023-10-15,167,Rome,Weekday,172.7725434,Private room,FALSE,TRUE,2,9,80,1,0.935370896,0.649269322,482.7071927,1251.524333
2023-10-16,168,Rome,Weekday,277.7453066,Entire home/apt,FALSE,FALSE,4,9,90,1,2.203024995,0.494697046,691.7089978,1625.897266
2023-10-17,169,Rome,Weekday,444.9068338,Entire home/apt,FALSE,FALSE,6,9,92,2,2.703009625,1.295152644,805.5926414,2035.819533
2023-10-18,170,Rome,Weekday,131.3912982,Private room,FALSE,TRUE,3,9,91,1,1.295968101,0.867455482,317.076369,836.6228144
2023-10-19,171,Rome,Weekday,182.1242373,Entire home/apt,FALSE,FALSE,4,9,89,2,1.285513705,0.8651801,317.986025,840.4690828
2023-10-20,172,Rome,Weekday,117.5975499,Private room,FALSE,TRUE,2,9,90,1,1.883319615,0.203032542,245.9793774,700.3106447
2023-10-21,173,Rome,Weekday,184.4621607,Entire home/apt,FALSE,FALSE,3,9,92,1,4.239363195,0.508939493,384.6786065,968.6400798
2023-10-22,174,Rome,Weekday,147.5229701,Private room,FALSE,TRUE,2,9,94,1,3.380054474,0.605921299,599.6574579,1467.702192
2023-10-23,175,Rome,Weekday,186.5662918,Entire home/apt,FALSE,FALSE,2,10,96,0,5.684160073,0.989826154,242.6120504,560.5890735
2023-10-24,176,Rome,Weekday,184.4621607,Entire home/apt,FALSE,FALSE,2,9,86,1,4.580433885,0.553483725,396.8505723,794.8462617
2023-10-25,177,Rome,Weekday,179.7863138,Entire home/apt,FALSE,FALSE,4,9,91,1,0.969358457,0.690113096,443.515595,1242.222702
2023-10-26,178,Rome,Weekday,101.2320857,Private room,FALSE,TRUE,4,9,92,1,4.323792591,0.42285996,450.8246603,983.8799285
2023-10-27,179,Rome,Weekday,426.4372384,Entire home/apt,FALSE,FALSE,2,10,100,1,1.872758374,0.155035899,772.8225921,1596.137607
